YEAR,solar_mean,rain_total,humidity_mean,temp_mean,wind_mean,region
2018,17.37,-999.0,48.98,24.69,1.86,Karnal_HR
2019,17.07,-999.0,51.34,24.67,1.92,Karnal_HR
2020,17.52,-999.0,53.49,24.1,1.87,Karnal_HR
2021,17.18,-999.0,54.08,24.3,1.78,Karnal_HR
2022,17.26,-999.0,58.06,24.55,1.86,Karnal_HR
2023,17.24,-999.0,57.25,24.05,1.8,Karnal_HR
2024,16.75,-999.0,51.24,25.14,1.94,Karnal_HR
2025,-999.0,-999.0,-999.0,-999.0,-999.0,Karnal_HR
2000,19.01,-999.0,48.7,16.78,3.55,Lubbock_TX
2001,19.01,-999.0,51.86,16.77,3.38,Lubbock_TX
2002,18.69,-999.0,51.42,16.05,3.48,Lubbock_TX
2003,19.43,-999.0,48.82,16.87,3.47,Lubbock_TX
2004,18.37,-999.0,59.63,15.84,3.36,Lubbock_TX
2005,19.01,-999.0,56.99,16.14,3.28,Lubbock_TX
2006,19.44,-999.0,49.49,16.96,3.38,Lubbock_TX
2007,18.47,-999.0,60.87,15.23,3.22,Lubbock_TX
2008,19.85,-999.0,50.66,15.95,3.56,Lubbock_TX
2009,19.26,-999.0,50.16,16.19,3.34,Lubbock_TX
2010,19.07,-999.0,56.07,15.75,3.43,Lubbock_TX
2011,20.49,-999.0,40.49,17.63,3.61,Lubbock_TX
2012,19.65,-999.0,45.66,17.64,3.43,Lubbock_TX
2013,19.87,-999.0,48.23,16.16,3.49,Lubbock_TX
2014,19.23,-999.0,50.9,16.01,3.51,Lubbock_TX
2015,18.62,-999.0,57.97,16.21,3.33,Lubbock_TX
2016,19.41,-999.0,54.14,17.16,3.43,Lubbock_TX
2017,19.54,-999.0,52.28,17.13,3.48,Lubbock_TX
2018,19.31,-999.0,50.73,16.84,3.53,Lubbock_TX
2019,19.12,-999.0,53.09,16.63,3.49,Lubbock_TX
2020,19.62,-999.0,46.54,17.44,3.55,Lubbock_TX
2021,19.34,-999.0,50.28,16.93,3.46,Lubbock_TX
2022,19.99,-999.0,44.19,17.33,3.48,Lubbock_TX
2023,19.62,-999.0,47.22,17.8,3.35,Lubbock_TX
2024,19.38,-999.0,48.68,18.19,3.42,Lubbock_TX
2025,-999.0,-999.0,-999.0,-999.0,-999.0,Lubbock_TX
2000,18.35,-999.0,65.74,15.71,2.13,Yolo_CA
2001,19.06,-999.0,61.96,16.39,2.32,Yolo_CA
2002,19.1,-999.0,62.46,15.91,2.21,Yolo_CA
2003,18.55,-999.0,64.64,16.3,2.11,Yolo_CA
2004,19.09,-999.0,63.79,16.33,2.31,Yolo_CA
2005,18.24,-999.0,66.87,15.93,2.21,Yolo_CA
2006,18.31,-999.0,67.47,15.33,2.12,Yolo_CA
2007,19.4,-999.0,61.72,15.7,2.28,Yolo_CA
2008,19.19,-999.0,60.63,15.92,2.32,Yolo_CA
2009,18.98,-999.0,62.63,15.67,2.26,Yolo_CA
2010,18.07,-999.0,68.5,15.04,2.26,Yolo_CA
2011,18.41,-999.0,67.16,14.55,2.26,Yolo_CA
2012,19.0,-999.0,61.97,15.9,2.4,Yolo_CA
2013,19.8,-999.0,58.2,16.05,2.34,Yolo_CA
2014,18.71,-999.0,60.66,17.31,2.25,Yolo_CA
2015,18.95,-999.0,63.22,16.73,2.32,Yolo_CA
